,inf_mode,cell_type,rnn_direction,batch_size,sentence_length,num_unit,num_layer,epoch,accuracy,precision,recall,f_measure
49,next,gru,uni,256,,256,3,30,0.5637280934678705,0.5718332482716899,0.5637280934678705,0.5656185518255441
50,next,lstm,uni,256,,256,3,50,0.5570897503983006,0.567591112552241,0.5570897503983006,0.5602364474371856
51,next,lstm,uni,256,,512,3,30,0.10050451407328731,0.09816157503040662,0.10050451407328731,0.09854951103656717
52,next,gru,uni,256,,256,6,100,0.08576739245884227,0.08139212913648583,0.08576739245884227,0.08004877865341845
53,next,gru,bi,256,,128,2,5,0.47450876261285185,0.4776204508948864,0.47450876261285185,0.4730043192487188
54,next,gru,uni,256,,256,5,50,0.06797663303239511,0.06587432173313779,0.06797663303239511,0.06539528559119329
55,next,gru,uni,256,,256,3,40,0.385554965480616,0.38656167909007433,0.385554965480616,0.3842500762102478
56,next,gru,uni,256,,256,3,30,0.37599575146043546,0.3761303156702817,0.37599575146043546,0.37294200007547534
57,next,gru,uni,256,,256,3,50,0.08550185873605948,0.08027023757532993,0.08550185873605948,0.07990805021295921
58,next,lstm,uni,256,,128,2,10,0.4677376526818906,0.4709911272337914,0.4677376526818906,0.4675611300981817
59,next,gru,uni,256,,256,3,40,0.4398566117896973,0.4446536576881162,0.4398566117896973,0.4405575710504689
60,next,gru,uni,256,,256,4,40,0.17857142857142858,0.16625480875775034,0.17857142857142858,0.1692547465731298
61,next,gru,uni,256,,256,6,50,0.07700477960701009,0.0747095080531043,0.07700477960701009,0.07487472831602919
62,next,lstm,uni,256,,128,3,40,0.4919012214551248,0.5011196283737915,0.4919012214551248,0.49416676381081853
63,next,gru,uni,256,,256,5,30,0.07076473712161445,0.06707291483677799,0.07076473712161445,0.06741437425183093
64,next,lstm,uni,256,,512,3,10,0.12758895379713223,0.12472230595286864,0.12758895379713223,0.12562293036799063
65,next,gru,uni,256,,256,3,90,0.4985395645246946,0.5056031240551279,0.4985395645246946,0.5003328879867536
66,next,gru,uni,256,,256,3,80,0.45778013807753587,0.4616053446323824,0.45778013807753587,0.45712826019994474
67,next,gru,uni,256,,512,3,30,0.07103027084439724,0.06827157923314066,0.07103027084439724,0.06913321229605887
68,next,lstm,uni,256,,512,3,80,0.38542219861922467,0.3913410333236417,0.38542219861922467,0.38515403142978877
69,next,gru,bi,256,,128,3,50,0.5122145512480085,0.5179711531696886,0.5122145512480085,0.5131529920485796
70,next,gru,uni,256,,256,3,60,0.5674455655868296,0.5792943819950119,0.5674455655868296,0.5709580453080906
71,next,gru,uni,256,,256,3,50,0.4391927774827403,0.4430962466470247,0.4391927774827403,0.43947938031296735
72,next,gru,uni,256,,256,3,90,0.42312798725438133,0.4245491058164295,0.42312798725438133,0.4211308895162343
73,next,gru,uni,256,,256,3,100,0.4613648433351036,0.4677102847789819,0.4613648433351036,0.46180711649053235
74,next,gru,bi,256,,128,2,25,0.5366436537440255,0.5397336947226639,0.5366436537440255,0.5367291954181185
75,next,gru,uni,256,,256,4,10,0.09997344662772172,0.09269059932487086,0.09997344662772172,0.09459632263505886
